province,city_regency,selection_basis,geocoding_query,selection_method,geocoding_query_original,geocoding_correction_note
Aceh,Aceh Utara,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Lhoksukon,draft_top_food_crop_candidate,Aceh Utara,Ibu kota Kabupaten Aceh Utara
Aceh,Aceh Besar,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Kota Jantho,draft_top_food_crop_candidate,Aceh Besar,Ibu kota Kabupaten Aceh Besar
Aceh,Pidie,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Pidie,draft_top_food_crop_candidate,Pidie,
Aceh,Bireuen,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Kota Juang,draft_top_food_crop_candidate,Bireuen,Ibu kota Kabupaten Bireuen
Aceh,Aceh Timur,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Idi Rayeuk,draft_top_food_crop_candidate,Aceh Timur,Ibu kota Kabupaten Aceh Timur
Sumatera Utara,Deli Serdang,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Lubuk Pakam,draft_top_food_crop_candidate,Lubuk Pakam,
Sumatera Utara,Serdang Bedagai,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Sei Rampah,draft_top_food_crop_candidate,Sei Rampah,
Sumatera Utara,Simalungun,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Pematang Raya,draft_top_food_crop_candidate,Pematang Raya,
Sumatera Utara,Langkat,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Stabat,draft_top_food_crop_candidate,Stabat,
Sumatera Utara,Mandailing Natal,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Panyabungan,draft_top_food_crop_candidate,Panyabungan,
Sumatera Barat,Agam,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Lubuk Basung,draft_top_food_crop_candidate,Lubuk Basung,
Sumatera Barat,Tanah Datar,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Batusangkar,draft_top_food_crop_candidate,Batusangkar,
