province,city_regency,selection_basis,selection_method,geocoding_query,matched_name,latitude,longitude,elevation,country_code,country,admin1,admin2,admin3,timezone,population,source
Aceh,Aceh Besar,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Kota Jantho,Kota Jantho,5.187659,95.715548,,ID,Indonesia,Aceh,Aceh Besar Regency,,Asia/Jakarta,,Manual correction based on validated coordinate
Aceh,Aceh Timur,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Idi Rayeuk,Edi Rajut,4.94952,97.77267,6.0,ID,Indonesia,Aceh,East Aceh Regency,,Asia/Jakarta,,Open-Meteo Geocoding API
Aceh,Aceh Utara,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Lhoksukon,Lhoksukon,5.051701,97.318123,,ID,Indonesia,Aceh,Aceh Utara Regency,,Asia/Jakarta,,Manual correction based on validated coordinate
Aceh,Bireuen,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Bireuen,Bireuen,5.203,96.701,,ID,Indonesia,Aceh,Bireuen Regency,Kota Juang,Asia/Jakarta,,Manual correction based on validated coordinate
Aceh,Pidie,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Pidie,Pidie,5.3807,95.9549,8.0,ID,Indonesia,Aceh,Pidie Regency,,Asia/Jakarta,,Open-Meteo Geocoding API
Bali,Badung,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Mangupura,Mangupura,-8.54389,115.17,127.0,ID,Indonesia,Bali,Badung Regency,,Asia/Makassar,,Open-Meteo Geocoding API
Bali,Buleleng,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Singaraja,Singaraja,-8.112,115.08818,11.0,ID,Indonesia,Bali,Buleleng Regency,,Asia/Makassar,133784.0,Open-Meteo Geocoding API
Bali,Gianyar,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Gianyar,Gianyar,-8.5435,115.3272,123.0,ID,Indonesia,Bali,Gianyar Regency,,Asia/Makassar,,Open-Meteo Geocoding API
Bali,Karangasem,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Amlapura,Amlapura,-8.45,115.61667,86.0,ID,Indonesia,Bali,Karangasem,,Asia/Makassar,31869.0,Open-Meteo Geocoding API
Bali,Tabanan,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Tabanan,Tabanan,-8.5413,115.12522,126.0,ID,Indonesia,Bali,Kabupaten Tabanan,,Asia/Makassar,33667.0,Open-Meteo Geocoding API
Banten,Cilegon,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Cilegon,Cilegon,-6.0144,106.0542,18.0,ID,Indonesia,Banten,Kota Cilegon,,Asia/Jakarta,,Open-Meteo Geocoding API
Banten,Lebak,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Rangkasbitung,Rangkasbitung,-6.3591,106.2494,27.0,ID,Indonesia,Banten,Lebak Regency,,Asia/Jakarta,137041.0,Open-Meteo Geocoding API
