province,city_regency,selection_basis,geocoding_query,selection_method
Aceh,Aceh Utara,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Aceh Utara,draft_top_food_crop_candidate
Aceh,Aceh Besar,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Aceh Besar,draft_top_food_crop_candidate
Aceh,Pidie,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Pidie,draft_top_food_crop_candidate
Aceh,Bireuen,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Bireuen,draft_top_food_crop_candidate
Aceh,Aceh Timur,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Aceh Timur,draft_top_food_crop_candidate
Sumatera Utara,Deli Serdang,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Lubuk Pakam,draft_top_food_crop_candidate
Sumatera Utara,Serdang Bedagai,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Sei Rampah,draft_top_food_crop_candidate
Sumatera Utara,Simalungun,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Pematang Raya,draft_top_food_crop_candidate
Sumatera Utara,Langkat,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Stabat,draft_top_food_crop_candidate
Sumatera Utara,Mandailing Natal,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Panyabungan,draft_top_food_crop_candidate
Sumatera Barat,Agam,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Lubuk Basung,draft_top_food_crop_candidate
Sumatera Barat,Tanah Datar,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Batusangkar,draft_top_food_crop_candidate
Sumatera Barat,Lima Puluh Kota,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Sarilamak,draft_top_food_crop_candidate
Sumatera Barat,Solok,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Arosuka,draft_top_food_crop_candidate
Sumatera Barat,Pasaman Barat,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Simpang Empat,draft_top_food_crop_candidate
Riau,Kampar,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Bangkinang,draft_top_food_crop_candidate
Riau,Rokan Hilir,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Bagan Siapiapi,draft_top_food_crop_candidate
Riau,Indragiri Hilir,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Tembilahan,draft_top_food_crop_candidate
Riau,Siak,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Siak Sri Indrapura,draft_top_food_crop_candidate
Riau,Rokan Hulu,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Pasir Pengaraian,draft_top_food_crop_candidate
Kepulauan Riau,Bintan,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Bintan,draft_top_food_crop_candidate
Kepulauan Riau,Karimun,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Karimun,draft_top_food_crop_candidate
Kepulauan Riau,Lingga,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Daik,draft_top_food_crop_candidate
Kepulauan Riau,Natuna,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Ranai,draft_top_food_crop_candidate
Kepulauan Riau,Batam,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Batam,draft_top_food_crop_candidate
Jambi,Kerinci,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Siulak,draft_top_food_crop_candidate
Jambi,Merangin,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Bangko,draft_top_food_crop_candidate
Jambi,Muaro Jambi,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Sengeti,draft_top_food_crop_candidate
Jambi,Tanjung Jabung Timur,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Muara Sabak,draft_top_food_crop_candidate
Jambi,Batanghari,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Muara Bulian,draft_top_food_crop_candidate
Sumatera Selatan,Ogan Komering Ulu Timur,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Martapura,draft_top_food_crop_candidate
Sumatera Selatan,Ogan Komering Ilir,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Kayu Agung,draft_top_food_crop_candidate
Sumatera Selatan,Banyuasin,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Pangkalan Balai,draft_top_food_crop_candidate
Sumatera Selatan,Musi Banyuasin,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Sekayu,draft_top_food_crop_candidate
Sumatera Selatan,Muara Enim,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Muara Enim,draft_top_food_crop_candidate
Kepulauan Bangka Belitung,Bangka,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Sungailiat,draft_top_food_crop_candidate
Kepulauan Bangka Belitung,Bangka Selatan,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Toboali,draft_top_food_crop_candidate
Kepulauan Bangka Belitung,Belitung,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Tanjung Pandan,draft_top_food_crop_candidate
Kepulauan Bangka Belitung,Bangka Barat,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Muntok,draft_top_food_crop_candidate
Kepulauan Bangka Belitung,Belitung Timur,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Manggar,draft_top_food_crop_candidate
Bengkulu,Bengkulu Selatan,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Manna,draft_top_food_crop_candidate
Bengkulu,Rejang Lebong,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Curup,draft_top_food_crop_candidate
Bengkulu,Seluma,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Tais,draft_top_food_crop_candidate
Bengkulu,Mukomuko,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Mukomuko,draft_top_food_crop_candidate
Bengkulu,Kaur,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Bintuhan,draft_top_food_crop_candidate
Lampung,Lampung Tengah,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Gunung Sugih,draft_top_food_crop_candidate
Lampung,Lampung Timur,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Sukadana,draft_top_food_crop_candidate
Lampung,Lampung Selatan,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Kalianda,draft_top_food_crop_candidate
Lampung,Tulang Bawang,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Menggala,draft_top_food_crop_candidate
Lampung,Lampung Utara,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Kotabumi,draft_top_food_crop_candidate
Banten,Pandeglang,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Pandeglang,draft_top_food_crop_candidate
Banten,Lebak,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Rangkasbitung,draft_top_food_crop_candidate
Banten,Serang,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Ciruas,draft_top_food_crop_candidate
Banten,Tangerang,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Tigaraksa,draft_top_food_crop_candidate
Banten,Cilegon,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Cilegon,draft_top_food_crop_candidate
DKI Jakarta,Jakarta Timur,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Jakarta Timur,draft_top_food_crop_candidate
DKI Jakarta,Jakarta Selatan,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Jakarta Selatan,draft_top_food_crop_candidate
DKI Jakarta,Jakarta Barat,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Jakarta Barat,draft_top_food_crop_candidate
DKI Jakarta,Jakarta Utara,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Jakarta Utara,draft_top_food_crop_candidate
DKI Jakarta,Kepulauan Seribu,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Pulau Pramuka,draft_top_food_crop_candidate
Jawa Barat,Indramayu,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Indramayu,draft_top_food_crop_candidate
Jawa Barat,Karawang,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Karawang,draft_top_food_crop_candidate
Jawa Barat,Subang,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Subang,draft_top_food_crop_candidate
Jawa Barat,Cianjur,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Cianjur,draft_top_food_crop_candidate
Jawa Barat,Garut,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Garut,draft_top_food_crop_candidate
Jawa Tengah,Grobogan,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Purwodadi,draft_top_food_crop_candidate
Jawa Tengah,Sragen,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Sragen,draft_top_food_crop_candidate
Jawa Tengah,Cilacap,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Cilacap,draft_top_food_crop_candidate
Jawa Tengah,Demak,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Demak,draft_top_food_crop_candidate
Jawa Tengah,Pati,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Pati,draft_top_food_crop_candidate
DI Yogyakarta,Sleman,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Sleman,draft_top_food_crop_candidate
DI Yogyakarta,Bantul,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Bantul,draft_top_food_crop_candidate
DI Yogyakarta,Gunungkidul,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",Wonosari,draft_top_food_crop_candidate
