province,city_regency,selection_basis,selection_method,geocoding_query,matched_name,latitude,longitude,elevation,country_code,country,admin1,admin2,admin3,timezone,population,source
Aceh,Aceh Utara,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Lhoksukon,Lhoksukon,5.051701,97.318123,,ID,Indonesia,Aceh,Aceh Utara Regency,,Asia/Jakarta,,Manual correction based on validated coordinate
Aceh,Aceh Besar,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Kota Jantho,Kota Jantho,5.187659,95.715548,,ID,Indonesia,Aceh,Aceh Besar Regency,,Asia/Jakarta,,Manual correction based on validated coordinate
Aceh,Bireuen,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Bireuen,Bireuen,5.203,96.701,,ID,Indonesia,Aceh,Bireuen Regency,Kota Juang,Asia/Jakarta,,Manual correction based on validated coordinate
Riau,Rokan Hilir,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Bagansiapiapi,Bagansiapiapi,2.15668,100.80763,,ID,Indonesia,Riau,Rokan Hilir Regency,,Asia/Jakarta,,Manual correction based on validated coordinate
DKI Jakarta,Jakarta Timur,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Jakarta Timur,Jakarta Timur,-6.225,106.900444,,ID,Indonesia,Jakarta,East Jakarta Administrative City,,Asia/Jakarta,,Manual correction based on validated coordinate
DKI Jakarta,Jakarta Selatan,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Jakarta Selatan,Jakarta Selatan,-6.26149,106.8106,,ID,Indonesia,Jakarta,South Jakarta Administrative City,,Asia/Jakarta,,Manual correction based on validated coordinate
DKI Jakarta,Jakarta Barat,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Jakarta Barat,Jakarta Barat,-6.168329,106.75885,,ID,Indonesia,Jakarta,West Jakarta Administrative City,,Asia/Jakarta,,Manual correction based on validated coordinate
DKI Jakarta,Jakarta Utara,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Jakarta Utara,Jakarta Utara,-6.145138,106.899452,,ID,Indonesia,Jakarta,North Jakarta Administrative City,,Asia/Jakarta,,Manual correction based on validated coordinate
Kalimantan Tengah,Kapuas,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Kuala Kapuas,Kuala Kapuas,-3.0013,114.3916,,ID,Indonesia,Central Kalimantan,Kapuas Regency,,Asia/Jakarta,,Manual correction based on validated coordinate
Sulawesi Utara,Minahasa Selatan,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Amurang,Amurang,-1.1825,124.573,,ID,Indonesia,North Sulawesi,South Minahasa Regency,,Asia/Makassar,,Manual correction based on validated coordinate
Sulawesi Selatan,Sidenreng Rappang,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Pangkajene Sidenreng,Pangkajene Sidenreng,-3.9258194,119.7953,,ID,Indonesia,South Sulawesi,Sidenreng Rappang Regency,Maritengngae,Asia/Makassar,,Manual correction based on validated coordinate
