province,city_regency,selection_basis,selection_method,geocoding_query,reason
Aceh,Aceh Utara,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Lhoksukon,No result from Open-Meteo Geocoding API
Aceh,Aceh Besar,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Kota Jantho,No result from Open-Meteo Geocoding API
Aceh,Bireuen,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Kota Juang,No result from Open-Meteo Geocoding API
Riau,Rokan Hilir,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Bagansiapiapi,No result from Open-Meteo Geocoding API
DKI Jakarta,Jakarta Timur,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,East Jakarta,No result from Open-Meteo Geocoding API
DKI Jakarta,Jakarta Selatan,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,South Jakarta,No result from Open-Meteo Geocoding API
DKI Jakarta,Jakarta Barat,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,West Jakarta,No result from Open-Meteo Geocoding API
DKI Jakarta,Jakarta Utara,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,North Jakarta,No result from Open-Meteo Geocoding API
Kalimantan Tengah,Kapuas,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Kuala Kapuas Kalimantan Tengah,No result from Open-Meteo Geocoding API
Sulawesi Utara,Minahasa Selatan,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,South Minahasa,No result from Open-Meteo Geocoding API
Sulawesi Selatan,Sidenreng Rappang,"Kandidat top kab/kot sentra tanaman pangan untuk padi, jagung, kacang tanah, dan kacang hijau; perlu validasi dengan data produksi kab/kot 2020-2024",draft_top_food_crop_candidate,Sidenreng Rappang,No result from Open-Meteo Geocoding API
